time_s,Staircase_training,NEDC_training,WLTP_unseen,US06_unseen
0.0,58.696,180.435,180.435,253.261
10.0,58.696,199.855,239.293,347.989
20.0,58.696,223.460,241.920,317.029
30.0,58.696,235.951,254.402,259.701
40.0,58.696,239.130,286.111,307.754
50.0,58.696,236.096,265.127,416.938
60.0,58.696,235.109,205.978,433.859
70.0,58.696,242.962,198.415,329.040
80.0,58.696,254.928,220.217,240.870
90.0,58.696,267.704,209.158,267.446
100.0,58.696,270.018,210.054,320.380
110.0,58.696,257.156,288.958,263.605
120.0,58.696,227.174,333.152,121.522
130.0,58.696,188.868,330.833,54.719
140.0,58.696,154.257,332.736,109.167
150.0,101.087,135.462,357.337,158.288
160.0,117.391,140.725,330.725,98.116
170.0,117.391,169.574,253.741,4.937
180.0,117.391,212.772,215.924,24.674
190.0,117.391,256.404,212.582,147.935
200.0,117.391,285.688,178.080,221.377
210.0,117.391,295.082,146.739,179.946
220.0,117.391,283.243,182.880,143.478
230.0,117.391,256.141,223.240,233.406
240.0,117.391,231.304,221.522,364.565
250.0,117.391,212.092,210.824,398.098
260.0,117.391,204.348,231.467,321.775
270.0,117.391,205.082,211.821,284.810
280.0,117.391,206.522,129.746,355.362
290.0,117.391,204.583,78.967,425.426
300.0,168.750,195.109,66.304,367.120
310.0,176.087,181.286,27.464,234.629
320.0,176.087,172.319,0.688,184.130
330.0,176.087,176.603,7.174,235.707
340.0,176.087,196.159,59.203,250.761
350.0,176.087,230.888,66.123,146.105
360.0,176.087,269.565,65.181,25.652
370.0,176.087,299.230,104.457,30.897
380.0,176.087,308.025,108.813,121.014
390.0,176.087,292.554,59.185,144.701
400.0,176.087,255.797,15.217,67.391
410.0,176.087,210.543,15.969,26.168
420.0,176.087,171.332,0.000,118.424
430.0,176.087,149.755,0.000,249.783
440.0,176.087,150.580,0.000,274.855
450.0,196.875,169.293,50.815,217.663
460.0,236.957,196.594,82.572,224.112
470.0,236.957,220.707,99.710,341.114
480.0,236.957,234.348,159.565,433.478
490.0,236.957,239.130,203.995,392.437
500.0,236.957,236.957,176.268,295.380
510.0,236.957,235.082,145.353,288.777
520.0,236.957,241.196,156.014,365.254
530.0,236.957,253.225,147.899,374.013
540.0,236.957,266.005,108.207,255.435
550.0,236.957,269.882,115.172,135.688
560.0,236.957,260.362,188.116,133.913
570.0,236.298,231.413,225.299,196.549
580.0,236.516,190.489,240.743,175.127
590.0,236.957,158.551,298.732,48.641
600.0,278.261,137.500,353.261,0.543
610.0,295.652,138.668,335.697,63.551
620.0,295.652,167.572,297.120,159.964
630.0,295.652,205.326,295.190,148.071
640.0,295.652,250.217,279.058,79.420
650.0,295.652,283.107,218.071,104.846
660.0,295.652,294.565,199.801,242.011
670.0,295.652,285.824,235.969,341.322
680.0,295.652,261.141,257.210,311.594
690.0,295.652,235.489,265.448,255.054
700.0,295.652,214.764,289.176,298.641
710.0,295.652,204.955,335.616,413.696
720.0,295.652,204.348,316.957,436.087
730.0,299.725,206.522,262.582,335.453
740.0,372.826,262.681,243.418,247.681
750.0,333.832,297.011,216.168,274.728
760.0,402.174,184.275,139.819,328.768
770.0,402.174,248.759,86.359,272.699
780.0,402.174,188.587,98.587,133.478
790.0,354.348,192.563,110.281,61.205
800.0,354.348,225.725,92.210,113.406
810.0,354.348,264.375,113.424,162.908
820.0,354.348,295.308,166.793,99.873
830.0,354.348,308.415,162.310,6.105
840.0,354.348,295.978,115.326,19.457
850.0,354.348,261.911,101.178,139.674
860.0,354.348,216.721,85.688,212.246
870.0,354.348,176.291,18.505,173.940
880.0,354.348,152.101,2.710,136.522
890.0,354.348,148.795,1.980,219.674
900.0,354.348,165.761,1.250,311.141
910.0,354.348,191.585,0.520,314.792
920.0,354.348,217.174,7.355,318.442
930.0,354.348,232.935,81.005,283.261
940.0,354.348,239.130,111.957,323.927
950.0,354.348,236.957,92.255,318.654
960.0,354.348,234.783,98.261,313.382
970.0,354.348,240.516,111.957,242.926
980.0,354.348,251.467,69.457,192.192
990.0,354.348,262.989,19.158,244.592
1000.0,354.348,270.562,31.884,261.051
1010.0,354.348,262.210,64.755,155.797
1020.0,354.348,237.011,66.467,34.185
1030.0,354.348,200.109,96.232,32.201
1040.0,354.348,164.493,179.783,119.928
1050.0,354.348,139.674,237.364,141.984
1060.0,354.348,135.851,236.993,64.601
1070.0,354.348,159.864,252.255,21.078
1080.0,354.348,198.587,280.543,108.587
1090.0,354.348,241.553,261.268,240.335
1100.0,354.348,275.453,195.471,266.757
1110.0,354.348,294.918,191.413,208.505
1120.0,354.348,288.406,212.101,214.203
1130.0,354.348,265.824,206.024,307.472
1140.0,354.348,239.348,212.663,313.961
1150.0,354.348,216.486,281.929,320.451
1160.0,354.348,205.290,311.031,298.551
1170.0,354.348,204.348,313.708,291.495
1180.0,354.348,206.522,316.385,323.986
1190.0,354.348,205.824,319.062,315.642
1200.0,354.348,198.913,321.739,266.304
