digitized_point_id,normalized_out_of_domain_index,trust_pct
0,0.00000,96.533
1,0.01404,96.533
2,0.01685,96.533
3,0.01966,96.533
4,0.03090,96.533
5,0.03371,96.533
6,0.03652,96.533
7,0.14045,96.533
8,0.01966,96.368
9,0.05056,96.368
10,0.05337,96.368
11,0.05618,96.368
12,0.05899,96.368
13,0.06180,96.368
14,0.08427,96.368
15,0.10674,96.203
16,0.10955,96.203
17,0.11236,96.203
18,0.16854,96.203
19,0.12079,96.038
20,0.12360,96.038
21,0.16854,96.038
22,0.17135,96.038
23,0.21067,96.038
24,0.02528,95.873
25,0.15449,95.873
26,0.00000,95.542
27,0.10112,95.212
28,0.20225,95.212
29,0.23876,95.212
30,0.00843,95.047
31,0.04213,95.047
32,0.04494,94.882
33,0.14045,94.882
34,0.26685,94.882
35,0.43539,94.882
36,0.17978,94.717
37,0.18258,94.717
38,0.19382,94.717
39,0.39607,94.717
40,0.43539,94.717
41,0.01404,94.552
42,0.07303,94.552
43,0.07584,94.552
44,0.08989,94.552
45,0.09270,94.552
46,0.12921,94.552
47,0.39607,94.552
48,0.01404,94.387
49,0.12640,94.387
50,0.12921,94.387
51,0.25843,94.387
52,0.36236,94.387
53,0.19944,94.222
54,0.09551,94.057
55,0.22191,94.057
56,0.26404,93.892
57,0.16573,93.726
58,0.26404,93.726
59,0.27528,93.726
60,0.43820,93.726
61,0.11798,93.561
62,0.12079,93.561
63,0.30618,93.561
64,0.02528,93.396
65,0.09270,93.396
66,0.09551,93.396
67,0.12640,93.396
68,0.18820,93.396
69,0.19101,93.396
70,0.19382,93.396
71,0.01124,93.231
72,0.01404,93.231
73,0.05337,93.231
74,0.21910,93.231
75,0.28652,93.231
76,0.38764,93.231
77,0.15169,93.066
78,0.21629,93.066
79,0.38764,93.066
80,0.10674,92.901
81,0.15730,92.901
82,0.26124,92.736
83,0.42135,92.736
84,0.38483,92.571
85,0.17697,92.406
86,0.18820,92.075
87,0.19944,92.075
88,0.20225,92.075
89,0.30899,92.075
90,0.31180,92.075
91,0.29775,91.910
92,0.31180,91.910
93,0.22472,91.745
94,0.29775,91.745
95,0.30056,91.745
96,0.44382,91.745
97,0.44663,91.745
98,0.50281,91.745
99,0.14888,91.580
100,0.24438,91.580
101,0.38202,91.580
102,0.41292,91.580
103,0.08708,91.415
104,0.08989,91.415
105,0.34831,91.415
106,0.49157,91.415
107,0.49438,91.415
108,0.11236,91.250
109,0.13202,91.250
110,0.17135,91.250
111,0.23034,91.250
112,0.35112,91.250
113,0.23034,91.085
114,0.25000,91.085
115,0.46629,91.085
116,0.39326,90.920
117,0.46629,90.920
118,0.14607,90.755
119,0.30056,90.755
120,0.35674,90.755
121,0.35955,90.755
122,0.36236,90.755
123,0.36517,90.755
124,0.36798,90.755
125,0.42697,90.755
126,0.11798,90.590
127,0.16011,90.590
128,0.17978,90.590
129,0.27528,90.590
130,0.23596,90.425
131,0.32303,90.425
132,0.37640,90.425
133,0.57022,90.425
134,0.29213,90.259
135,0.35393,90.259
136,0.44663,90.259
137,0.21067,90.094
138,0.24719,90.094
139,0.74157,90.094
140,0.14607,89.929
141,0.16011,89.929
142,0.32303,89.929
143,0.35674,89.929
144,0.49157,89.929
145,0.49438,89.929
146,0.57022,89.929
147,0.15449,89.764
148,0.15730,89.764
149,0.49157,89.764
150,0.57022,89.764
151,0.25281,89.599
152,0.21348,89.434
153,0.25281,89.434
154,0.28933,89.269
155,0.39607,89.269
156,0.46067,89.269
157,0.53090,89.269
158,0.55056,89.269
159,0.55337,89.269
160,0.17416,89.104
161,0.33708,89.104
162,0.25562,88.939
163,0.27247,88.939
164,0.33427,88.939
165,0.42978,88.939
166,0.48876,88.939
167,0.33427,88.774
168,0.33708,88.774
169,0.41292,88.608
170,0.51404,88.608
171,0.51685,88.608
172,0.22753,88.443
173,0.45225,88.443
174,0.45506,88.443
175,0.45787,88.443
176,0.47191,88.443
177,0.47472,88.443
178,0.51966,88.443
179,0.47472,88.278
180,0.29494,88.113
181,0.30899,88.113
182,0.36517,88.113
183,0.27809,87.783
184,0.58989,87.783
185,0.43258,87.618
186,0.46629,87.618
187,0.46910,87.618
188,0.44382,87.453
189,0.50000,87.453
190,0.54213,87.453
191,0.78371,87.453
192,0.33146,87.288
193,0.35955,87.288
194,0.47753,87.288
195,0.52809,87.288
196,0.69944,87.288
197,0.78371,87.288
198,0.30337,87.123
199,0.48315,87.123
200,0.51124,87.123
201,0.56180,87.123
202,0.62640,87.123
203,0.30337,86.958
204,0.38483,86.958
205,0.42416,86.958
206,0.51966,86.958
207,0.56461,86.958
208,0.62360,86.958
209,0.35674,86.792
210,0.42416,86.792
211,0.54494,86.792
212,0.54775,86.792
213,0.58146,86.792
214,0.36798,86.627
215,0.37079,86.627
216,0.40169,86.627
217,0.56742,86.627
218,0.36798,86.462
219,0.47191,86.462
220,0.42978,86.132
221,0.50000,86.132
222,0.54775,86.132
223,0.55056,86.132
224,0.55899,86.132
225,0.64326,86.132
226,0.39607,85.967
227,0.39888,85.967
228,0.42978,85.967
229,0.48034,85.967
230,0.52528,85.967
231,0.54775,85.967
232,0.59270,85.967
233,0.59551,85.967
234,0.71348,85.967
235,0.71629,85.967
236,0.33708,85.802
237,0.36798,85.802
238,0.66011,85.802
239,0.66292,85.802
240,0.70506,85.802
241,0.80899,85.802
242,0.45225,85.637
243,0.60393,85.637
244,0.60674,85.637
245,0.66011,85.637
246,0.66292,85.637
247,0.67135,85.637
248,0.44101,85.472
249,0.53933,85.472
250,0.44101,85.307
251,0.56180,85.307
252,0.34551,85.142
253,0.57865,85.142
254,0.64045,85.142
255,0.50562,84.976
256,0.64888,84.976
257,0.68258,84.976
258,0.37921,84.811
259,0.55056,84.811
260,0.65730,84.811
261,0.71067,84.811
262,0.53652,84.646
263,0.53933,84.646
264,0.57303,84.646
265,0.60112,84.646
266,0.60393,84.646
267,0.62079,84.646
268,0.50843,84.481
269,0.53652,84.481
270,0.66854,84.481
271,0.43820,84.316
272,0.44101,84.316
273,0.83146,84.316
274,0.45787,84.151
275,0.55337,84.151
276,0.71067,84.151
277,0.71910,84.151
278,0.72191,84.151
279,0.54494,83.986
280,0.63202,83.986
281,0.70787,83.986
282,0.71067,83.986
283,0.57584,83.821
284,0.70787,83.821
285,0.42697,83.656
286,0.57584,83.656
287,0.57865,83.656
288,0.61236,83.656
289,0.66292,83.656
290,0.72753,83.656
291,0.61236,83.491
292,0.75281,83.491
293,0.68258,83.325
294,0.68539,83.325
295,0.68820,83.325
296,0.69101,83.325
297,0.69382,83.325
298,0.75562,83.325
299,0.78652,83.325
300,0.75281,83.160
301,0.84831,83.160
302,0.85112,83.160
303,0.56461,82.995
304,0.59270,82.995
305,0.59270,82.830
306,0.73034,82.830
307,0.53371,82.665
308,0.58989,82.665
309,0.63202,82.665
310,0.69944,82.665
311,0.72191,82.665
312,0.67416,82.500
313,0.73876,82.500
314,0.76404,82.500
315,0.51966,82.335
316,0.65449,82.335
317,0.67416,82.335
318,0.80618,82.335
319,0.87360,82.335
320,0.87360,82.170
321,0.93820,82.005
322,0.61517,81.840
323,0.72753,81.840
324,0.73034,81.840
325,0.78652,81.840
326,0.53933,81.675
327,0.63483,81.675
328,0.70225,81.675
329,0.72753,81.675
330,0.73034,81.675
331,0.77528,81.675
332,0.78652,81.675
333,0.57865,81.509
334,0.65169,81.509
335,0.68539,81.509
336,0.68820,81.509
337,0.83708,81.509
338,0.83989,81.509
339,0.45506,81.344
340,0.65449,81.344
341,0.71629,81.344
342,0.74719,81.344
343,0.83989,81.344
344,0.84270,81.344
345,0.85674,81.344
346,0.62360,81.179
347,0.65449,81.179
348,0.67697,81.179
